Student,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6
#0023,11.52,9.72,10.91,13.78,9.6,5.43,11.59,1,4.78,10,9,9.066666667,6.6,2.666666667,5.5
#0024,6.79,20.64,25.01,38.34,25.94,18.53,26.97,64.13,12.57,10,10,8.6,9,6,9
#0025,9.93,20.52,0,18.2,5.19,4.39,2.79,0,0,6.2,6.666666667,7,6.65,6,6.6
#0026,11.83,33.98,35.98,50.04,29.16,14.17,34.31,17.78,18.64,9,9.2,7.666666667,8,4,7.6
#0027,3.17,0,11.17,14.97,8.95,4.89,12.12,23.91,1.97,9,0,9.5,7.5,8,7.8
#0028,11.12,14.38,12.14,17.93,7.89,6.89,12.4,22.81,9.48,7,10,8.4,6.5,5.4,9.8
#0029,10.73,14.73,22.59,17.98,1.97,0,12.34,0,1.53,8,8,7.166666667,7.6,7,9.266666667
#0030,4.43,9.17,9.46,0,0,0,0,0,0,9,9.4,6.133333333,5.45,6,4.5
#0031,11.87,18.64,10.55,12.77,8.02,3.34,7.32,0,0,8.833333333,8,6.433333333,9,6,9
#0032,9.3,0,0,0,0,0,0,0,0,6,8.3,7.766666667,6.8,5,2.4
#0033,0,0,0,18.69,0,17.29,9.7,0,0,9,6.95,9,7.6,8,9
#0034,11.56,10.68,10.88,14.47,8.96,5.13,13.4,11.78,5.86,9,9.4,9.333333333,5.833333333,0,8.8
#0035,2.88,16.66,0,0,0,0,0,1.11,7.53,10,8.166666667,6.416666667,6.266666667,5,7.8
#0036,10.87,7.58,9.35,13.61,0,5.77,0,6.04,0,5.5,9.857142857,6.8,5,3,6.8
#0037,0,0,0,0,0,0,0,0,0,9.8,9.8,8.3,8,6,9
#0038,11.72,26.27,11.4,26.2,18.67,15.47,10.63,2,.85,10,9.8,9.466666667,9,8,10
#0039,11.61,36.51,0,51.21,29.31,18.18,4.72,0,0,8,8.8,8.433333333,7.333333333,6,7.4
#0040,0,0,0,26.66,0,13.62,15.85,17.24,11.73,7.8,8.55,6.6,9,9,8.6
#0041,11.12,10.14,0,0,0,0,0,0,0,10,10,8.05,6,0,6.8
#0042,0,0,0,0,0,0,0,19.75,0,9.8,9.55,8.2,7,8,9.8
#0043,11.87,27.67,0,13.68,9.65,5.79,13.1,23.62,8.04,9,9.6,9.8,8,6,8
#0044,11.97,9.67,8.95,12.66,3.6,3.96,0,26.45,8.95,10,7.466666667,8.6,6.466666667,7,10
#0045,11.51,31.77,0,35.24,15.73,16.7,3.79,27.12,13.33,8,9.25,8.866666667,9.3,6,6.8
#0046,10.9,39.45,36.1,53.57,27.14,19.36,45.69,11.88,5.92,9,9.4,8.6,8.4,8,10
#0047,10.97,32.94,30.4,13.64,7.55,4.91,12.15,8.63,5.41,9,9.166666667,9.4,6,5,9
#0048,11.49,10.33,15.71,14.99,7.85,5.8,10.84,9.64,6.05,7,9.25,7.6,5.3,4,8.8
#0049,11.76,36.06,33.8,14.41,8.91,5.74,12.95,5.95,7.54,9,8.875,8.333333333,6.75,6.333333333,0
#0050,0,0,0,14.85,2.07,19.28,2.62,3.84,0,8,8.5,8.4,6,6,8
#0051,4.88,9.12,12.85,13.18,8.95,11.21,11.14,25.43,5.81,8,10,8.733333333,7.65,7,7.6
#0052,0,0,0,14.94,0,0,0,0,0,7.75,7.866666667,7.866666667,5.95,7,6.8
#0053,2.54,11.31,13.22,14.61,8.8,3.46,9.45,14.84,3.17,8,8.8,9.1,8.4,10,8.6
#0054,10.16,19.27,12.22,23.57,12.8,13.3,19.1,20.83,7.92,8,10,10,8,3.5,10
#0055,0,0,5.63,13.09,0,12.08,18.18,18.21,20.27,7,7.8,8.866666667,6.8,9,7.8
#0056,10.87,21.47,19.64,21.33,8.87,2.1,6.38,6.98,9.7,10,9,10,7.1,10,9.4
#0057,11.5,11.25,12.82,13.98,8.57,7.78,0,16.91,11.93,8.9,10,9.4,7.3,9,6.8
#0058,0,0,0,15.56,0,13.53,0,0,.58,0,7.65,7.333333333,6.4,7,9
#0059,11.89,14.69,11,15.74,9.98,6.87,10.99,23.86,8.71,8.8,9.3,8.266666667,6.4,6.333333333,8
#0060,11.44,8.84,12.43,13.92,8.78,4.92,11.24,20.59,6.56,9,8,8.8,9.1,8,9.8
#0061,10.94,11.11,21.91,13.71,8.7,5.88,.2,25.34,5.75,9,9.1,9.1,8.8,8,7.3
#0062,11.83,0,36.22,53.11,8.98,18.98,12.87,66.46,8.85,10,8.8,8.766666667,9.8,4.666666667,9.466666667
#0063,11.97,28.03,5.29,40.17,8.91,16.74,16.05,24.92,7.32,8.8,9.6,9.4,6.1,1,6.4
#0064,11.85,33.35,33.83,50.94,12.9,17.58,12.81,8.72,0,10,9.6,9.4,8.4,9,10
#0065,11.11,27.07,29.09,24.2,18.1,19.01,12.02,25.68,6.46,9.55,9.8,9.066666667,8,9,9.466666667
#0066,10,10,0,20,10,10,12.17,0,0,8.8,9.275,8.9,5.8,7,5.933333333
#0067,10,10,10,20,10,10,7.87,39.81,8.67,9,8.55,9,6.6,9,8
#0068,0,0,0,0,0,0,0,0,0,7,8,4.666666667,3.4,0,0
#0069,10,10,10,20,10,10,12.17,9.44,15,8,8.55,2.4,8.4,8,9.8
#0070,10,10,10,20,10,10,17.99,33.93,13.89,10,8.9,8.95,8.6,8,6.4
#0071,10,10,10,20,10,10,25,24.31,15,5.6,8,8.3,4.8,2,7
#0072,10,10,10,4.33,0,10,2.99,0,0,8,5.6,6.866666667,0,0,0
#0073,10,10,10,11.72,10,10,13.13,38.01,15,7.8,7.866666667,7.133333333,6.8,8,9
#0074,10,10,10,20,10,10,25,40,15,9,8.666666667,8.5,8.8,9,8.933333333
#0075,10,10,10,2,4.97,10,15.58,20.06,14.26,8.5,8.6,7.733333333,7.8,7,8.8
#0076,10,10,10,20,10,10,.06,12.27,15,9,9.4,8.4,9,7,9.2
#0077,10,10,10,20,10,10,25,40,14.16,10,10,8.35,8,9,7.4
#0078,10,10,10,20,10,10,25,40,15,10,8.15,7.7,6.1,9,9.133333333
#0079,10,10,10,20,10,10,25,40,15,10,9.857142857,9.4,9,8,8.666666667
#0080,10,10,10,13.66,0,10,19.74,4.95,14.23,10,6.9,0,5.75,8,8.35
#0081,10,10,10,20,9.46,8.56,0,9.38,14.29,9,9.466666667,8,9,8,10
#0082,10,10,.97,19.76,10,10,11.33,38.82,14.58,0,0,0,7,2,7.2
#0083,10,10,10,1.76,8.05,10,3.54,4.97,15,8,6.933333333,4.466666667,6.4,0,6
#0084,10,10,10,20,10,10,25,40,15,9,9.257142857,0,9,8,8.15
#0085,10,10,10,14.99,9.65,5.16,16.39,40,15,8.5,6.25,8.7,6.6,7,8.8
#0086,10,10,10,20,10,10,25,40,15,10,9.4,7.533333333,8.8,8,7.4
#0087,10,10,10,20,10,10,4.01,39.72,15,10,9.857142857,9.05,7,8,8.4
#0088,10,10,10,20,10,10,19.39,33.06,15,8.6,8.2,8.666666667,0,5,9.8
#0089,10,10,10,20,10,10,25,40,15,10,9.666666667,8.6,9.2,10,8.8
#0090,10,10,10,20,10,10,22.93,40,15,0,8.3,9,6,5.333333333,9.8
#0091,10,10,10,20,10,10,0,40,15,9,8.4,9.4,8.6,8.666666667,9.8
#0092,10,10,10,20,10,10,25,40,15,10,9,9.6,8,9,9.6
#0093,10,10,10,20,10,10,25,38.26,15,0,8.75,8.2,8.6,7,10
#0094,10,10,10,20,10,10,25,40,15,7.6,6.8,7.35,7.3,7,7.6
#0095,10,10,10,20,10,10,25,39.13,15,9.8,8.933333333,7.8,8.8,7.666666667,9.466666667
#0096,10,10,9.1,12.43,8.98,10,25,40,15,9.8,9,8.7,6.8,5.2,7.75
#0097,10,10,10,2.02,10,10,0,17.85,15,10,9,4.6,9,6,9.8
#0098,10,10,10,19.82,10,9.33,21.13,19.28,14.26,7,7.8,9.4,9,8,9.333333333
#0099,10,10,10,20,10,10,25,40,12.07,9,7.8,6.466666667,7.583333333,7,8.6
#0100,10,10,10,20,7.66,10,2.96,40,15,10,8.8,7.8,8.8,0,9.8
#0101,10,10,10,12.12,10,10,25,18.78,15,9.8,9.8,8.066666667,6.6,6,7.4
#0102,10,10,10,20,10,10,20.96,33.62,15,8,9.457142857,8.566666667,7.8,8,7.8
#0103,10,10,10,20,10,10,25,40,15,8,7.966666667,9,9,8,8.8
#0104,10,10,10,20,10,10,25,38.59,15,8.8,9.8,9,8.8,10,8.8
#0105,9.26,10,10,8.75,9.09,9.34,20.96,31.79,15,8,8.8,8.233333333,7.6,0,9.8
#0106,10,10,10,20,10,10,13.49,29.79,12.63,9.8,9.8,9,8.6,8,7.6
#0107,10,10,10,20,10,8.6,25,40,15,6.5,9.5,9.2,8.333333333,8,8.8
#0108,9.92,10,10,20,10,9.48,0,0,11.42,8,7.6,7.066666667,3.1,4,9.333333333
#0109,10,10,10,20,10,10,25,40,15,7.8,9.6,8.8,9,7,9.6
#0110,10,3.32,10,0,0,10,0,10.9,11.1,7,8.071428571,9.2,6.6,9,8
#0111,10,10,10,0,0,9.43,11.19,17.26,0,9.6,8.216666667,7.7,8,8,4.8
#0112,10,10,10,20,10,10,25,28.21,15,9,9.8,9.1,8,7,8.6
#0113,10,10,10,18.62,10,7.68,10.2,40,15,10,9,7.966666667,8.8,8,8.6
#0114,10,10,10,20,10,10,25,40,15,8,10,8.616666667,8.8,9,9.6
#0115,10,10,10,20,9.97,9.46,23.67,29.8,13.81,10,9,9.6,8.466666667,0,8.666666667
#0116,10,10,10,14.57,10,10,7.65,31.83,10.07,8,8.6,8.533333333,6.15,5,9.266666667
#0117,10,10,10,20,10,10,25,40,15,9,10,9.666666667,9.5,5,9.8
#0118,10,10,10,20,4.84,10,2.8,0,12.96,9.8,8.875,8,7,7,9
#0119,10,10,10,20,10,10,25,40,15,8,10,8.666666667,7.55,9,9.8
#0120,10,10,10,20,10,10,25,39.53,15,9,9.2,8.366666667,8,8,10
#0121,10,10,10,20,10,10,25,40,15,9,10,9.133333333,9.8,7,7.8
#0122,10,10,10,20,10,10,25,40,15,9,9.416666667,8.6,9,6,9
#0123,10,10,10,19.71,10,10,9.99,40,15,7.8,9.6,8.633333333,9,8,7.8
#0124,10,10,10,20,10,10,25,40,15,9,9.6,9.4,8,6,9.25
#0125,10,10,10,20,10,10,25,40,15,0,8,9.333333333,7.066666667,7,9.6
#0126,10,10,10,20,10,10,20.88,40,15,10,10,8.3,8,10,10
#0127,10,10,9.97,9.99,9.99,9.64,9.41,39.58,14.43,0,9.857142857,8.8,7.066666667,8,9.6
#0128,10,10,10,20,10,10,25,40,15,8.8,9.523809524,8.833333333,8,7,9.666666667
#0129,10,10,10,9.94,10,10,25,38.94,15,9,9.8,9.166666667,8.8,9,9
#0130,10,10,10,20,9.88,9.11,7.65,16.92,9.79,9.714285714,9.75,8.733333333,8.4,7.4,9.6
#0131,10,10,10,20,10,10,20.94,40,15,9,8.5,10,6.6,8,8.2
#0132,10,10,10,13.7,10,10,15.34,29.63,14.55,9,8.3,7.5,7.6,8,8
#0133,10,10,10,20,10,10,16.23,40,15,9,9.4,9.6,9.6,7,9
#0134,10,10,10,20,10,10,0,2.99,15,0,9.35,8.3,4.6,0,8.6
#0135,10,10,4.77,0,0,0,20.52,0,0,6.5,8,5.6,6.816666667,6,8.85
#0136,10,10,10,20,10,10,24.81,40,15,10,9,9.466666667,8.666666667,9,8
#0137,10,10,10,10.2,10,10,10.02,3.26,15,8.5,7.533333333,7.4,7.8,0,8
#0138,10,10,10,20,10,10,25,39.48,15,8,8.6,7.416666667,6.8,9,8.75
#0139,10,10,10,20,7.85,7.66,15.89,40,15,9.8,9,9.4,9,8,10
#0140,10,10,10,11.74,10,10,25,40,15,8.666666667,9.3,9.2,10,5,8.4
#0141,10,10,10,20,7.74,10,20.6,40,15,9,7.8,5.366666667,8.933333333,10,8.466666667
#0142,10,10,10,20,10,10,25,23.8,15,8,8.2,8.466666667,9,8,9.133333333
#0143,10,0,10,20,10,10,5.41,11.93,15,9,9.475,7.2,7,8,6.733333333
#0144,10,10,10,20,10,10,25,40,15,10,9.75,9.4,8.75,9,7.4
#0145,10,10,10,20,10,10,25,40,15,9.8,8.8,8.85,9,8,8.8
#0146,10,10,10,12,10,10,24.79,40,15,9.8,9.8,9.4,10,8,8.4
#0147,10,10,10,20,10,10,25,40,15,10,9.8,10,8.6,9.333333333,9
#0148,10,10,10,20,10,10,25,40,15,9,9.416666667,8.9,9.6,8,9.3
#0149,10,10,10,0,0,0,10.4,40,15,6.8,6.2,0,4.2,8.5,9
#0150,10,10,10,20,10,10,25,40,15,9.8,8.8,9.166666667,9.8,9,8.8
#0151,10,10,10,20,10,10,25,32.72,15,7.8,9,7.966666667,10,9,9
#0152,10,10,10,20,9.85,9.38,8.28,9.9,8.51,10,0,8.4,5.4,2,3.2
#0153,10,10,10,20,10,10,0,40,15,8,9.5,8.8,7.35,9,9.6
#0154,10,10,10,20,10,10,25,36.02,15,7.333333333,7.4,8.8,7.2,8,9.8
#0155,10,10,10,20,7.82,10,21.07,40,15,9,10,9.066666667,7.3,8,8.6
#0156,10,10,10,20,10,10,25,40,15,9,9,8.733333333,7.6,9,8.8
#0157,10,9.5,10,9.75,9.97,10,22.24,40,15,9,9.314285714,8.8,9,9,9.6
#0158,10,10,10,20,10,10,25,40,15,10,10,8.3,8.8,8,8.8
#0159,10,10,10,20,10,10,24.2,39.74,15,8.8,8.25,8.4,6.6,7,10
#0160,10,10,10,20,10,10,25,40,15,10,9.6,9.4,9,8,7.6
#0161,10,10,10,20,10,10,25,29.5,15,8.8,9,8.866666667,5.8,0,8.2
#0162,10,10,10,20,10,9.64,5.96,40,15,7,8.65,10,9,9,8.6
#0163,10,10,10,20,10,10,25,39.02,15,9,8.357142857,8.233333333,8,7,10
#0164,10,10,10,10.91,10,4.54,18.62,33.43,15,9,8.133333333,7.633333333,8.5,8,9.6
#0165,10,10,10,20,10,10,25,40,15,10,9.55,8.55,8,9,7.8
#0166,10,10,10,20,10,10,25,40,15,9.8,9.666666667,9.666666667,8.6,5,9.8
#0167,10,10,10,20,10,10,25,40,15,9,9.216666667,9.8,10,6,8.2
#0168,10,10,10,15.69,9.98,10,13.82,40,10.75,8,10,8.933333333,7.9,5.333333333,9
#0169,10,10,10,14.98,10,10,11.26,40,15,9,9.8,9.8,6,9,10
#0170,10,10,10,20,5.92,10,7.86,40,15,10,0,9.066666667,0,8,7.8
#0171,10,9.29,10,17.77,10,10,25,38.48,15,9.8,8.2,8.066666667,9,9,9.8
#0172,10,10,10,20,10,10,25,40,15,9,10,9.233333333,9,9,9
#0173,10,10,10,20,10,10,3.79,38.73,0,8,10,7.6,6.3,9,8
#0174,10,10,0,0,10,0,0,0,0,0,0,0,0,4.666666667,0
#0175,10,10,10,20,10,10,25,40,14.24,9,9,9.2,9.8,9,8.3
#0176,10,10,10,0,0,10,0,6.91,.66,10,.5,8.666666667,4.3,9,7
#0177,10,9.08,10,9.69,9.93,9.79,9.53,9.94,1.83,7,7.8,7.8,9,8,8.4
#0178,10,10,10,20,10,10,25,40,15,9,7.75,8.1,8.75,9,7
#0179,10,10,10,20,10,10,25,40,15,10,9.55,9.55,9.5,9,8.4
#0180,10,10,10,20,10,10,25,40,10.95,8,8.6,8.2,8,7,9.8
#0181,10,9.36,10,10.97,10,10,22.67,34.11,14.88,8,9.4,8.4,5.933333333,9,8.2
#0182,10,10,10,20,1.45,10,5.07,0,8.77,10,9.2,8.6,7.3,8,9.6
#0183,10,10,10,20,10,10,25,40,15,8.8,8.714285714,8.733333333,8.6,4,8.8
#0184,10,10,10,20,10,10,25,40,15,8.5,8.15,8.316666667,8.9,7,7.55
#0185,10,9.99,10,12.98,10,0,25,20.78,13.73,10,10,9.333333333,8.8,9,9.266666667
#0186,10,10,10,20,10,10,25,38.51,15,9,9.6,10,8.9,9,10
#0187,10,10,10,20,10,10,17.65,40,15,7.266666667,6.55,8.733333333,9.1,5,9.35
#0188,10,10,10,9.55,10,10,25,40,15,10,9.4,9.066666667,10,10,10
#0189,10,10,10,0,0,0,0,0,2.83,8,7.5,8.2,0,6,8.1
#0190,10,10,10,20,10,10,25,40,15,9.5,9.05,9.466666667,7.8,8,9
#0191,10,10,10,20,10,10,25,40,15,9,8.6,8.6,0,10,9
#0192,10,10,10,20,10,10,0,40,15,9.8,9,8.266666667,6.7,7,10
#0193,10,10,10,20,10,10,5.38,30.69,15,7.8,8.8,9.2,5.633333333,7,7.4
#0194,10,10,10,20,10,10,23.35,40,15,8,7.9,9.4,8.25,4,9.266666667
#0195,10,10,10,20,10,10,25,40,15,9,9.4,9.1,8.25,8,7.8
#0196,10,10,10,20,10,10,20.53,40,15,8,9.8,8.8,8.5,8,8
#0197,10,10,10,10.75,10,10,25,37.84,15,9,9.6,9.466666667,9,8,10
#0198,10,10,10,13.93,9.73,10,25,40,15,9,9.5,7.4,8.75,8,10
#0199,10,10,10,20,10,10,8.81,30.18,15,10,7.8,9.1,8.466666667,10,10
#0200,0,0,0,0,10,10,25,16.69,15,10,9.75,8.2,9,9,9.6
#0201,10,10,10,20,10,10,2.51,0,10.57,10,9.8,8.066666667,8.8,10,9.8
#0202,10,10,10,10.95,10,8.57,0,0,0,8.5,8.4,7.9,0,4,0
#0203,10,10,10,20,10,10,24.43,20.69,13.96,8.8,9.4,8.466666667,7.666666667,9,9.4
#0204,10,10,10,20,10,10,25,40,14.26,8,8.6,9.3,9.55,4,8.8
#0205,10,10,10,20,10,10,14.5,2.44,7.07,8,9.2,8.2,8.6,0,7.9
#0206,10,10,10,20,10,10,25,40,15,9,6.233333333,8.733333333,8.6,7,9
#0207,10,10,10,20,10,10,25,40,11.13,8,9,9.8,5.6,7,9.8
#0208,10,10,10,20,10,10,11.66,5.98,15,10,8.8,9.6,7.6,4,9.4
#0209,10,10,10,11.99,10,10,25,40,15,10,9.266666667,9.75,8.8,10,9.666666667
#0210,10,10,10,20,10,10,25,40,15,8,9.466666667,8.566666667,9,8,8.6
#0211,10,10,10,20,10,10,25,40,15,10,10,9.8,9,9,9.133333333
#0212,10,10,10,20,10,10,25,15.33,9.89,10,9.8,8.6,8.5,6,8.466666667
#0213,10,10,10,12.98,10,10,0,0,5.55,8,0,7.6,7.6,4,10
#0214,10,10,10,20,10,10,25,40,15,9,9,8.3,7,6,9.8
#0215,10,10,10,19.25,8.86,2.99,11.93,40,15,7,6.95,5.266666667,4.8,2,7.4
#0216,10,10,10,20,10,10,24.83,27.26,11.72,7,9,8.666666667,6.8,6,8.933333333
#0217,8.33,10,10,20,10,10,19.39,3.67,15,9,9.466666667,8.666666667,4,10,7.3
#0218,10,10,10,20,10,10,4.74,22.89,15,10,8.25,9.4,8,3,7.833333333
#0219,10,10,0,20,10,0,0,36.28,15,10,8.133333333,0,7.15,8,9.6
#0220,10,10,10,20,10,10,25,10.88,15,9.4,9.8,8.9,8.5,10,9.466666667
#0221,10,10,10,20,10,3.68,5.31,33.58,15,7,7.75,9.4,6.6,8,8.8
#0222,10,10,10,13.68,9.96,10,19.41,40,11.99,9.8,7.8,0,8.5,5,9
#0223,10,10,10,20,6.81,.99,15.79,13.87,1.24,8.8,8.6,6.8,5.2,0,0
#0224,10,10,10,20,10,10,25,0,14.06,8.8,9.657142857,8.6,5,8,8.8
#0225,0,0,0,13.61,0,4.49,0,5.42,0,0,9.666666667,8.9,5,0,5.2
#0226,10,10,10,20,10,10,25,40,15,8,9.5,9,9.4,8,9.666666667
#0227,10,10,10,19.79,10,10,22.7,30.38,15,9,8.666666667,8.6,6.5,9.2,8
#0228,10,10,10,20,10,10,11.99,40,15,9.8,10,8.666666667,7.3,6,9
#0229,10,10,10,20,10,10,25,40,15,9,9,9.3,9.5,5.5,9.6
#0230,10,10,10,13.43,9.96,10,10.66,3.89,13.4,9,10,9.6,8.466666667,6,8.6
#0231,9.94,9.94,9.97,19.93,9.99,9.77,20.38,40,15,9.3,9.875,9.4,9.1,9,9.8
#0232,10,10,10,20,10,10,11.71,9.85,12.83,10,10,9.4,8.4,7,9.75
#0233,10,10,9.98,20,9.91,9.64,23.02,40,15,9,8.6,8.566666667,6.6,9,9
#0234,10,10,10,11.64,10,10,23.03,19.25,11.17,10,10,9.8,9.8,5,8
#0235,10,10,10,20,10,10,25,40,15,10,9.6,7.5,9.666666667,7,9
#0236,10,10,10,20,10,10,23.75,0,15,9,8.75,9.6,8.3,9,9.8
#0237,10,10,10,20,10,10,22.75,31.01,15,10,9.333333333,9.333333333,8.8,9,9
#0238,10,10,10,20,10,10,24.59,40,12.52,9.8,9.5,9.8,10,8,8.8
#0239,10,10,10,20,8.08,0,0,7.39,13.42,4,8.75,6.666666667,4.2,6,8.75
#0240,10,10,10,20,10,10,25,40,15,10,8.666666667,9.266666667,8,7.5,8.5
#0241,10,10,10,20,10,10,25,21.82,15,9,10,9.2,9.25,6,8.8
#0242,10,10,10,20,10,10,25,40,15,9,7.95,8.3,5.15,9,9
#0243,10,10,10,20,10,10,25,40,15,8.8,9.35,8.8,10,7,9.8
#0244,10,10,10,20,10,10,25,40,15,9.8,9.016666667,7.4,8.8,9,8.6
#0245,10,10,10,20,10,10,25,40,15,9.8,9.5,7.966666667,8.25,7,9.8
#0246,10,10,10,20,10,10,10.32,40,15,9,9.75,8.4,10,7,9.8
#0247,10,10,10,20,10,10,25,39.49,15,9,10,9.1,8.6,8,9.4
#0248,10,10,10,20,10,10,3.55,22.23,15,10,9.8,9.8,0,0,0
#0249,10,10,10,20,7.85,10,16.4,23.79,14.82,8.5,9.2,8.8,8.6,6,6.6
#0250,10,10,10,18.1,10,10,10.57,40,15,9.75,7.8,0,5,0,8.6
#0251,10,9.29,10,6.81,10,7.01,.5,37.9,15,8,8.5,7.7,8.8,9,8.6
#0252,10,10,10,20,10,10,25,40,15,10,9,8.966666667,8.5,6,9.416666667
#0253,10,10,10,20,10,10,25,40,15,8,9.8,9.266666667,10,1,10
#0254,10,10,10,20,10,10,21.96,40,5.97,9.6,7.333333333,8.2,8.6,4,7.133333333
#0255,10,10,10,11.91,7.96,0,6,0,4.43,9.25,9.666666667,9.8,3.1,4,6.7
#0256,10,10,10,20,10,10,18.33,40,15,9,8.8,9.4,8,8,10
#0257,10,10,10,20,10,10,25,40,15,7.6,10,10,9.25,8,8.5
#0258,10,10,10,20,10,10,25,37.54,15,10,9.8,7.5,8,7.666666667,9.4
#0259,10,10,10,20,10,10,25,16.64,15,9,10,8,7.4,1,6.6
#0260,10,10,10,20,10,10,25,40,15,8,7.6,9.6,8.8,9,8
#0261,10,10,10,20,10,10,25,40,15,9,4.266666667,8,5.833333333,8,9.666666667
#0262,10,10,10,20,10,10,25,40,15,9,9.8,9.666666667,9,9,8.4
#0263,10,10,10,20,10,10,25,22.28,14.18,9.8,9.15,9.2,6.833333333,7.333333333,6.866666667
#0264,10,10,10,20,10,10,10.9,34.88,15,9,8.933333333,9.6,9.8,9,10
#0265,10,10,10,14.86,10,10,16.94,37.06,7.39,9,9.4,7,7.4,9,8.733333333
#0266,10,10,10,10,10,10,25,37.62,15,10,10,9.8,7.4,10,10
#0267,10,10,10,20,10,10,2.74,4,15,9,7.671428571,6.366666667,6.233333333,6,7.4
#0268,10,10,10,20,10,0,25,15.67,0,10,8.333333333,7.933333333,7.2,0,0
#0269,10,10,10,18.37,9.84,10,10.36,40,14.96,8,9.8,9.466666667,5.8,8,9.6
#0270,10,10,10,20,10,10,25,40,15,10,9.6,9.8,9,7,9.8
#0271,10,10,10,20,10,10,25,40,15,10,10,7.8,9.55,7,8.066666667
#0272,10,10,10,6.93,10,0,0,0,15,10,9.6,8.766666667,0,8,8.2
#0273,10,10,10,20,10,10,25,40,15,10,9.4,9.266666667,10,9,9.4
#0274,10,10,10,20,10,10,24.53,20.79,15,8,9,0,9.4,7.5,7.066666667
#0275,10,10,10,20,9.92,10,25,40,15,8.5,8.55,8.2,7,9,8.733333333
#0276,10,10,10,20,10,10,25,40,15,9.8,10,9.8,10,9,10
#0277,10,10,10,20,10,10,25,39.59,11.81,9,9.8,9,5.516666667,4,7.2
#0278,10,10,10,20,10,10,25,40,15,10,10,8.1,6.8,10,9
#0279,10,10,10,0,0,10,0,0,15,9,8,7.3,8.1,9,9
#0280,10,10,10,20,10,10,22.39,40,15,9,9,9,8,8,7.8
#0281,10,10,10,10.95,9.69,7.97,13.48,36.07,14.51,9.6,8.75,8.966666667,7.8,6,8.75
#0282,10,10,10,20,10,10,9.09,16,15,8.8,10,0,8.55,7,9.6
#0283,10,10,10,20,10,10,23.33,40,15,8,9.466666667,8.5,9.266666667,9,9.4
#0284,10,10,10,20,10,10,19.04,37.77,15,9,7.4,7.6,10,9,9.8
#0285,10,10,10,20,10,10,25,40,15,8.8,9.6,9.066666667,7.8,8.333333333,7.8
#0286,10,10,10,11,10,10,4.69,10.35,8.92,8,8.314285714,0,9.6,3,7.8
#0287,10,10,10,20,10,10,0,40,15,8.8,9.75,7.333333333,9,5,8.4
