Semester,Semester#,Tech.Con.#,Nationality,EthnicRace,Age,Sex,Attendance,AtteLev,Motivation,SelfConfidence,Pretest,Postest,Quiz,SkillTest,Performance,Satisfaction1,Satisfaction2,TranTrai,AcqKno,LevSat,DegSat
Semester4,4,TC101,American,Latin/His,23,1,25,2,60,66,2,5,70,27,21,43,100,83,3,3,0
Semester4,4,TC102,American,Caucasian,19,1,76,1,1,93,1.8,11.2,71,70,38,66,96,65,3,4,1
Semester4,4,TC103,American,Caucasian,22,1,77,1,37,29,4.7,11.5,72,75,56,94,95,96,3,5,1
Semester4,4,TC104,American,Caucasian,23,1,33,2,57,30,1.3,8,73,43,26,96,92,57,3,5,1
Semester4,4,TC105,American,Caucasian,18,1,35,2,24,95,5.4,5,76,40,20,32,90,66,3,2,0
Semester4,4,TC106,Belizean,Latin/His,20,2,81,1,100,73,4,12.6,77,70,43,95,84,93,4,5,1
Semester4,4,TC107,Indian,Asian,21,2,75,1,35,100,10,12.6,78,86,31,96,90,29,4,5,1
Semester4,4,TC108,American,Caucasian,20,2,83,1,55,13,3.2,12.7,81,65,40,55,95,30,4,3,1
Semester4,4,TC109,Afgan,Asian,19,2,75,1,71,38,9.4,12.7,82,75,86,76,100,95,4,4,1
Semester4,4,TC110,Pakistan,Asian,18,2,85,1,79,50,8.7,12.7,83,76,47,92,100,73,4,5,1
Semester4,4,TC111,Jamaican,Black,19,2,86,1,40,90,6.7,14,84,70,35,75,90,82,4,4,1
Semester4,4,TC112,American,Caucasian,17,2,87,1,50,7,6.7,14.1,91,75,28,50,100,60,4,3,1
Semester4,4,TC113,American,Caucasian,19,2,88,1,53,60,7.4,13,92,47,27,91,20,38,4,5,1
Semester4,4,TC114,Polish,Caucasian,21,2,80,1,52,29,5.9,13.2,93,95,29,100,40,50,4,5,1
Semester4,4,TC115,Italian,Caucasian,19,2,91,1,49,69,6.2,13.7,96,90,62,25,60,90,4,2,0
Semester4,4,TC116,American,Caucasian,19,2,92,1,89,88,6.7,14,97,90,90,49,80,72,4,3,0
Semester4,4,TC117,American,Caucasian,20,2,93,1,75,28,7.4,14.5,98,83,9,85,100,60,4,5,1
Semester4,4,TC118,American,Caucasian,20,2,94,1,37,20,4.5,13,35,58,42,100,95,82,4,5,1
Semester4,4,TC119,American,Caucasian,20,2,95,1,60,50,8.2,14.7,36,90,97,100,97,69,4,5,1
Semester4,4,TC120,Dominican,Latin/His,21,2,93,1,40,73,5,14.1,37,80,38,60,89,88,4,3,1
